id;nom;catégorie;description;résumé;image;
1;Verres à Shooters Boules de Billard;Apéritifs;"Si vous voulez ajouter une touche originale et fun à  votre prochain apéro entre amis, ces verres à shooters boules de billard sont faits pour vous. Vous trouverez dans ce kit : un plateau de transport et de rangement et pas moins de 9 verres vous permettant d'offrir à vos invités un petit rafraîchissement. Chaque verre est figé dans sa boule numérotée et vous permettra de trinquer en couleur. Cheers !
 
Contient :
1 plateau pour transporter les verres, en plastique noir. Dimensions : 16 x 16 x 4 cm
9 verres boules de billard, en verre et plastique. Dimensions : 8 x 5 cm
 
Offrez en Connaisseur :
Voici un coffret qui sera idéal pour animer vos soirées et vos apéritifs. Chaque verre étant fixé sur une boule de billard, il aura ainsi un style original et inimitable. Tous vos amis voudront les découvrir et boire des shooters ou petits cocktails dans ceux-ci. Un cadeau parfait également pour tous les amateurs de billard et de snooker !
Attention, l'abus d'alcool est dangereux pour la santé, à consommer avec modération.";Découvrez ces 9 verres à shooters, figés dans des boules de billard, qui animeront tous vos apéritifs entre amis !;http://media1.cadeau-maestro.com/2738-16271-large_default/verres-a-shooters-boules-de-billard.jpg;
2;Shooters Morpion;Apéritifs;"Avec ce coffret de shooters morpion, vous pourrez animer vos apéritifs et soirées ! Vous trouverez en effet un plateau en verre quadrillé, pour représenter les 9 cases du jeu du morpion. En guise de pions, vous pourrez utiliser les verres à shooters et gare à celui qui perdra ! Un jeu à boire à découvrir d'urgence pour vous divertir et vous amuser. Ludique, ce jeu de shooters morpion vous permettra d'apprendre les stratégies du morpion afin de devenir le roi de la soirée.
Ce coffret est disponible en deux modèles : petit modèle (plateau de 13 cm x 13 cm) et grand modèle (plateau de 20 cm x 20 cm)
 
Contient :
1 plateau en verre. Dimensions petit modèle : 13 cm x 13 cm. Dimensions grand modèle : 20 cm x 20 cm.
9 verres, marqués de croix ou de ronds. Dimensions des petits verres : 3 cm x 2,5 cm
 
Offrez en Connaisseur :
Avec ce jeu, vous serez assuré de faire passer une bonne soirée à vos amis. Vous pourrez ainsi allier jeu et divertissement durant l'apéritif...
Attention, l'abus d'alcool est dangereux pour la santé, à consommer avec modération.";Avec ce plateau et ses neufs verres, surprenez vos amis avec les shooters morpion en alliant apéritif et jeu du morpion...;http://media3.cadeau-maestro.com/1368-5037-large_default/shooters-morpion.jpg;
3;Jeu de Roulette à Boire;Apéritifs;"Si vous adorez le casino et les jeux de hasard, ou si vous aimez simplement les bons moments de convivialité entre amis, adoptez ce jeu de roulette à boire sans attendre... Vous pourrez miser sur les numéros et les couleurs, et si ceux-ci sont désignés par la roulette, il ne vous restera qu'à boire votre apéritif. Vous pouvez ainsi varier les plaisirs en remplissant les petits verres de différents cocktails, avec ou sans alcool. Un jeu à partager de 2 à 8 joueurs !
 
Contient :
1 plateau de jeu, en plastique noir, avec roulette. Diamètre total du plateau : 29,5 cm
16 verres dont 8 de couleur noire et 8 de couleur rouge, portant chacun 2 ou 3 numéros. Dimensions : 4,5 cm x 3,5 cm
2 boules de couleur, en métal. Diamètre : 0,5 cm
1 règle du jeu
 
Offrez en Connaisseur :
Pour amuser les plus jeunes, vous pouvez aussi varier ce jeu en incorporant des jus de fruits et boissons non alcoolisées afin de recréer l'ambiance d'une vraie salle de jeu...
L'abus d'alcool est dangereux pour la santé, à consommer avec modération.";Un jeu de roulette pour s'amuser comme au casino... et gagner le droit de boire son verre... Faites vos jeux, rien ne va plus !;http://media2.cadeau-maestro.com/1419-5342-large_default/jeu-roulette-boire.jpg;
4;Tire-Bouchon Bouteille de Vin;Apéritifs;"Vous recherchez un petit accessoire à offrir à un amateur de vin et de bonne chair ? Voici le cadeau idéal : le tire-bouchon en forme de bouteille de vin. Petit et astucieux, il cache bien son jeu. Pour l'utiliser, c'est très simple, il vous suffira d'ôter la partie haute, qui dissimule un petit tire-bouchon. Vous pourrez alors déboucher toutes vos bonnes bouteilles ou que vous soyez avec cet objet design et original...

Contient :
1 tire-bouchon en forme de bouteille de vin.  Dimensions : 11,5 cm x 2,8 cm
 
Offrez en Connaisseur :
Voici un petit accessoire très malin et compact. Facile à ranger et à transporter, il pourra vous dépanner en de nombreuses circonstances et vous permettra de pouvoir trinquer, lors de vos pique-niques, repas de famille, apéritifs etc...";Avec ce tire-bouchon surprenant et très pratique, vous pourrez ouvrir vos bouteilles en un tour de main...;http://media1.cadeau-maestro.com/1837-7308-large_default/tire-bouchon-bouteille-de-vin.jpg;
5;Décapsuleur Joueur de Baby Foot;Apéritifs;"Si vous aimez partager des soirées match de foot entre amis, voici un petit accessoire qui vous permettra de passer un moment convivial, avec style. Ce décapsuleur étonnant reprend, en effet, le design d'une figurine joueur de baby foot. Disponible en plusieurs couleurs, il vous accompagnera dans toutes vos soirées pour encore plus de fun...
Cinq couleurs au choix : jaune, orange, bleu, blanc ou rouge
 
Contient :
1 décapsuleur joueur de baby-foot, en plastique et métal. Cinq couleurs de maillot au choix : orange, jaune, rouge, bleu ou blanc. Dimensions : 16 x 3,5 x 2 cm

Offrez en Connaisseur :
Voici un cadeau qui fera plaisir à tous ceux qui apprécient le sport mais également les objets originaux. Pratique et tendance, ce décapsuleur ne manque pas de personnalité. Nul doute qu'il sera très vite adopté pour tous vos apéritifs et soirées entre amis...";Un décapsuleur décalé et insolite, qui comblera tous les amateurs de baby foot, de football, mais surtout de soirées entre amis !;http://media3.cadeau-maestro.com/2278-10800-large_default/decapsuleur-joueur-de-baby-foot.jpg;
6;Mug Isotherme Objectif d'Appareil Photo;Thé et Café;"Ce mug isotherme objectif d'appareil photo vous permettra de vous déplacer en gardant toujours à proximité votre café, thé, chocolat ou soupe bien et chaud et à la main. Que vous soyez tranquillement chez vous, dans votre voiture, votre boisson restera bien chaude, grâce à sa paroi isotherme. Ce mug dispose d'une petite ouverture sur le dessus, très facile à ouvrir et à fermer, afin de pouvoir boire sans vous brûler... Avis aux photographes !
 
Contient :
1 grand mug isotherme objectif en plastique noir, pour y servir vos boissons préférées. Capacité : 350 ml. Intérieur paroi isotherme non hermétique. Dimensions : 14 x 8 cm. Ce mug ne passe pas au micro-ondes, ni au lave-vaisselle. 
 
Offrez en Connaisseur :
Ce mug est le cadeau idéal pour tous les fans d'objets originaux, qu'ils soient ou non photographes professionnels. Si vous aimez les accessoires fun, design et insolites, adoptez d'urgence cet accessoire et offrez-le à vos amis...";Le retour du célèbre mug appareil photo en version isotherme pour garder bien au chaud toutes vos boissons...;http://media2.cadeau-maestro.com/1375-19097-large_default/mug-isotherme-objectif-d-appareil-photo.jpg;
7;Tasse Expresso Humeur du Matin Boudeur;Thé et Café;"La tasse expresso humeur du matin Tassen transformera rapidement vos petits-déjeuners en moments de douceur et de poésie avec son visage très expressif, il suffit de regarder cette adorable moue boudeuse. Cette tasse en véritable porcelaine blanche passe au lave-vaisselle et au micro-ondes pour notre plus grand bonheur. Elle animera tous vos moments de détente autour d""un bon expresso...
 
Contient :
1 tasse expresso humeur du matin Boudeur, de la marque Tassen, en porcelaine blanche, avec anse. Visage en relief. Passe au lave-vaisselle et au micro-ondes. Fabriquée en Allemagne. Contenance : 100 ml. Dimensions : 8 x 5 cm
1 sous-tasse, de la marque Tassen, en porcelaine blanche. Passe au lave-vaisselle et au micro-ondes. Fabriquée en Allemagne. Dimensions : 12 x 1,5 cm
 
Offrez en Connaisseur :
Variez les plaisirs avec la gamme Tassen humeur du matin et découvrez également les bols humeur, pour des matinées pleines de bonne humeur et des réveils en fanfare ! POor ce qui estr de notre tasse expresso plutôt à la mine boudeuse, offrz-la à une collègue qui a un peu de mal à s'y mettre le matin... avec bien entendu une bonne dose de second degré...";Une tasse expresso humeur du matin boudeur qui vous laissera découvrir un visage très expressif, afin d'ajouter de l'originalité à toutes vos pauses café...;http://media2.cadeau-maestro.com/1151-24909-large_default/tasse-expresso-humeur-matin-boudeur.jpg;
8;Service à Thé Design;Thé et Café;"Voici un très élégant coffret à thé qui vous donnera envie de recevoir vos amis tous les jours pour partager avec eux une tasse de ce doux breuvage... Dans ce set sont présentés : une théière en porcelaine avec son couvercle, muni d'une boule à thé (amovible), ainsi que deux tasses, également en porcelaine. Ces trois éléments sont habillés d'un bandeau de silicone noire afin de vous assurer une bonne prise en main, sans risque de brûlure. Un cadeau parfait pour toutes ceux et celles qui apprécient de mêler design et saveurs... 
 
Contient :
1 théière en porcelaine blanche avec une bande de silicone noire. Contenance : 600 ml. Passe au lave-vaisselle. Dimensions : 19 x 11 x 12,5 cm. 
2 tasses en porcelaine blanche une bande de silicone noire. Contenance : 200 ml. Passe au lave-vaisselle. Dimensions : 9,8 x 6,7 cm
1 boule à thé en métal. Placée dans le couvercle de la théière. Dimensions : 5 x 4 cm
 
Offrez en Connaisseur :
Voici un set qui sera parfait à offrir à un amateur de thé. Il ou elle pourra ainsi prendre le temps de s'accorder une petite pause douceur, en savourant un thé parfumé bien chaud, pourquoi pas accompagné de petits biscuits. Le petit plus ? La boule à infuser est fournie avec dans ce coffret, il ne vous reste donc plus qu'à choisir votre thé !";Un set complet et design, comprenant une théière et deux tasses en porcelaine, qui vous permettra de savourer, à deux, un bon thé... ;http://media3.cadeau-maestro.com/2763-12560-large_default/service-a-the-design.jpg;
9;Coffret Bois à Thé Deluxe avec Accessoires;Thé et Café;"Voici un coffret qui réserve bien des surprises. Vous en avez assez de mettre en vrac vos sachets de thé ou d'infusion dans une boite lambda, alors vous allez aimer ce joli coffret en bois qui pourra recevoir jusqu'à huit compartiments distincts pour ranger vos sachets proprement. Mais avant d'assembler l'intérieur de cette boite à thé très luxueuse, vous pourrez y découvrir quatre accessoires cruciaux pour la dégustation de votre thé. Tout d'abord deux verres, qui possèdent une bague en silicone verte autour d'eux, comme ça lorsque vous prendrez le thé avec votre amie, vous ne vous brûlerez pas. Ensuite, un superbe infuseur en inox et silicone qui a la forme d'une feuille, il est accompagné de son petit socle, lui aussi en silicone vert qui évitera de tacher la nappe. Tout est fait ou presque, il vous reste à choisir le thé que vous allez déguster...
Coffret vide, sachets de thé non fournis.
 
Contient :
1 boite à thé, en bois de couleur noire. S'ouvre grâce à 2 charnières en métal. Petit verrou de fermeture en métal. Taille de chaque compartiment : 6 x 9,5 x 6,5 cm. Une fois l'emballage des verres et de l'infuseur enlevé, le montage des compartiments se fait grâce à 3 pièces de bois à assembler. Schéma de montage fourni. Dimensions boite fermée : 27,5 x 21,5 x 9,5 cm
1 infuseur à thé feuille, en inox et silicone de couleur pomme. Dimensions : 15 x 4 cm
1 support anti-goutte pour infuseur, en silicone de couleur pomme. Dimensions : 5 x 1 cm
2 verres à thé, avec bague en silicone de couelur pomme. Dimensions : 6,5 x 10,3 cm
 
Offrez en Connaisseur :
Ce coffret boite à thé deluxe avec tous ces accessoires est le cadeau parfait pour tous les amateurs de thé ou d""infusion. Complet, pratique et très élégant, il saura trouver très vite sa place dans leur décoration intérieure, le coffret étant en bois, aux lignes sobres et fortes, il pourra tout à fait se laisser sur une table basse ou sur une étagère.";Laissez-vous séduire par ce coffret bois à thé deluxe avec accessoires. A l'intérieur de ce coffret, deux verres, un infuseur à thé feuille et 8 compartiments pour ranger vos sachets de thé...;http://media3.cadeau-maestro.com/4317-24772-large_default/coffret-bois-the-deluxe-accessoires.jpg;
10;Infuseur à Thé Sucette;Thé et Café;"Attention, ne vous méprenez pas sur la nature de cette sucette, il ne s'agit pas d'une friandise sucrée, mais bien d'un infuseur à thé ! Vous pourrez déposer à l'intérieur de la boule rouge du thé en vrac ou en sachet, afin de le plonger ensuite directement dans une tasse remplie d'eau chaude. Il ne vous restera plus alors qu'à laisser le temps faire son travail et, en quelques minutes, vous pourrez savourer un bon thé...
 
Contient :
1 infuseur à thé sucette, en plastique alimentaire, rouge et blanc. Passe au micro-ondes et au lave-vaisselle. Dimensions : 13 x 4 cm
 
Offrez en Connaisseur :
Cette boule à thé pourra ainsi être déposée directement dans une tasse, afin de faire infuser la juste dose de thé, puis de tourner la sucette afin de bien répartir les saveurs des feuilles dans l'ensemble du mug. Un cadeau à la forme volontairement décalée qui plaira à tous ceux qui apprécient de partager un Tea Time, non sans humour...";Découvrez cette joli sucette rouge qui, bien qu'apétissante, ne pourra pas être mangée... mais vous permettra de faire infuser puis de déguster une bonne tasse de thé ! ;http://media2.cadeau-maestro.com/3085-16071-large_default/infuseur-a-the-sucette.jpg;
